pc11_s_id,pc11_d_id,pc11_sd_id,year,post_ror_data_entry_block_any,post_ror_dist_softw_available_block_any,post_ror_aadhaar_link_block_any,post_mutation_computerized_block_any,post_digital_ror_issued_block_any,block_id,mean_night,count_night,sum_night,sd_name,frac_12,per_aggriculture,per_treecover,per_greencover,per_built
20,347,2518,2008,0,0,0,0,0,2240,0.0102020181635374,1953,19.9245414733887,Chatra,0.641610503196716,64.1610503196716,6.92256212234497,72.9986877441406,19.9497165679932
20,347,2518,2009,0,0,0,0,0,2240,0.0033484662549653,1953,6.53955459594727,Chatra,0.617289960384369,61.7289960384369,8.62679672241211,72.5886383056641,18.6518936157227
20,347,2518,2010,0,0,0,0,0,2240,0.0032537844140775,1953,6.35464096069336,Chatra,0.633837163448334,63.3837163448334,5.0370945930481,78.2913360595703,16.5388927459717
20,347,2518,2011,0,0,0,0,0,2240,0.012202904032733,1953,23.8322715759277,Chatra,0.661305487155914,66.1305487155914,5.81540441513062,75.1239929199219,18.931568145752
20,347,2518,2012,0,0,0,0,0,2240,0.0114529868974114,1953,22.3676834106445,Chatra,0.645524203777313,64.5524203777313,7.52582550048828,77.676643371582,14.703070640564
20,347,2518,2013,0,0,0,0,0,2240,0.0897458999875992,1953,175.273742675781,Chatra,0.634078741073608,63.4078741073608,9.84447574615479,74.1667327880859,15.8785839080811
20,347,2518,2014,0,0,0,0,0,2240,0.0602244403016793,1953,117.61833190918,Chatra,0.633922398090363,63.3922398090363,12.722204208374,72.4472961425781,14.7014770507813
20,347,2518,2015,0,0,0,0,0,2240,0.0488390514805447,1953,95.3826675415039,Chatra,0.643453598022461,64.3453598022461,10.6518383026123,73.8263931274414,15.397852897644
20,347,2518,2016,0,0,0,0,0,2240,0.0791895993843606,1953,154.657287597656,Chatra,0.652930974960327,65.2930974960327,4.56451606750488,78.5096893310547,16.798511505127
20,347,2518,2017,0,0,0,0,0,2240,0.0980330866175435,1953,191.458618164063,Chatra,0.628526210784912,62.8526210784912,8.14181709289551,78.1419219970703,13.5800590515137
20,347,2518,2018,1,1,1,1,1,2240,0.0911623109504008,1953,178.039993286133,Chatra,0.643749594688416,64.3749594688416,5.53903388977051,75.7437362670899,18.5901298522949
20,347,2518,2019,1,1,1,1,1,2240,0.0964113688859783,1952,188.19499206543,Chatra,0.680105924606323,68.0105924606323,10.4302082061768,77.0375289916992,12.4083471298218
20,347,2518,2020,1,1,1,1,1,2240,0.117318137747342,1952,229.005004882813,Chatra,0.651051104068756,65.1051104068756,10.2400712966919,74.7784576416016,14.8870143890381
20,347,2518,2021,1,1,1,1,1,2240,0.139551741177918,1952,272.404998779297,Chatra,0.650158226490021,65.0158226490021,10.6432104110718,76.4032516479492,12.8433475494385
20,347,2519,2000,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,,,11.4668569564819,68.6097946166992,19.9076499938965
