park_id,buffer_km,in_out,mean_tc,median_tc,sd_tc,n_pixels,Percent_Tree_Cover
233,5,outer,72.76827956989247,81.0,21.015344221283765,1860,72.76827956989247
233,10,outer,73.98213513902895,80.0,16.72849792886225,6941,73.98213513902895
233,20,outer,70.6058396889487,80.0,20.233437811620348,26748,70.6058396889487
233,25,outer,69.06500361532899,79.0,22.081715549549553,41490,69.06500361532899
234,5,outer,43.52024096385542,51.0,24.51504971629751,8300,43.52024096385542
234,10,outer,44.42209922099221,56.0,25.203999165708897,19512,44.42209922099221
234,20,outer,44.13659798828771,56.0,27.167276896623004,51399,44.13659798828771
234,25,outer,43.648503666329376,54.0,28.038194852680533,72143,43.648503666329376
235,5,outer,11.830658981149712,9.0,14.906704340355683,6419,11.830658981149712
235,10,outer,11.538752601374787,9.0,11.808082621395275,15857,11.538752601374787
235,20,outer,12.712995416554328,10.0,15.675388324532836,44508,12.712995416554328
235,25,outer,13.25123524783635,10.0,14.756531726930813,63550,13.25123524783635
236,5,outer,48.780364372469634,54.0,20.84542443092223,1976,48.780364372469634
236,10,outer,51.770713986307115,57.0,20.79149482462169,7157,51.770713986307115
236,20,outer,55.146234740403,58.0,18.45292447143981,27196,55.146234740403
236,25,outer,55.00818618818714,58.0,19.23979596557845,42022,55.00818618818714
237,5,outer,86.13464788732395,78.0,57.04019249693398,1775,86.13464788732395
237,10,outer,83.9686111933669,80.0,43.62493816979885,6754,83.9686111933669
237,20,outer,84.5667701863354,81.0,40.97938785427166,26404,84.5667701863354
237,25,outer,84.48853194237941,81.0,37.06669827815841,41027,84.48853194237941
238,5,outer,123.66805638276752,76.0,84.9102493504945,5037,123.66805638276752
238,10,outer,135.24446494464945,77.0,90.52249275431721,13008,135.24446494464945
238,20,outer,145.34681226331898,78.0,94.11278700161785,38554,145.34681226331898
238,25,outer,152.43893054986552,79.0,94.366390115878,56141,152.43893054986552
239,5,outer,14.583393851367708,10.0,11.637862781169877,4131,14.583393851367708
239,10,outer,14.318838028169013,11.0,10.63823810212138,11360,14.318838028169013
239,20,outer,13.593298328816621,10.0,14.363501497800083,35424,13.593298328816621
239,25,outer,13.700560325868697,11.0,13.064777256627947,52291,13.700560325868697
240,5,outer,10.050420168067227,9.0,6.17094018682332,2023,10.050420168067227
240,10,outer,11.416374104760568,9.0,21.51276617222339,7121,11.416374104760568
240,20,outer,13.933374935760957,9.0,23.352429308550242,27242,13.933374935760957
240,25,outer,14.699459562867665,9.0,21.365473257232726,41818,14.699459562867665
241,5,outer,61.248401377274966,63.0,10.862181791122449,2033,61.248401377274966
241,10,outer,59.523770266556745,63.0,13.767518694405636,7278,59.523770266556745
241,20,outer,53.362165117550575,60.0,18.755862484161273,27435,53.362165117550575
241,25,outer,51.029779194710116,59.0,20.413502837230496,42345,51.029779194710116
242,5,outer,62.45204460966543,62.0,9.85547949077331,4035,62.45204460966543
242,10,outer,60.41087073127123,60.0,11.371337481583584,11186,60.41087073127123
242,20,outer,59.81410128530309,60.0,14.775669061400677,35089,59.81410128530309
242,25,outer,59.720544883528255,61.0,16.550859812713057,51901,59.720544883528255
243,5,outer,84.70267453977075,52.0,79.67585749737718,2879,84.70267453977075
243,10,outer,107.79174087266252,56.0,96.14844756977156,8984,107.79174087266252
243,20,outer,116.97800201161546,59.0,103.7839398180332,30821,116.97800201161546
243,25,outer,116.71400966183575,56.0,105.8979083412965,46575,116.71400966183575
244,5,outer,88.3838533927687,81.0,43.886010623997834,2019,88.3838533927687
244,10,outer,85.12429300593185,81.0,38.000644388321454,7249,85.12429300593185
244,20,outer,84.27192341420637,80.0,37.493871829952646,27368,84.27192341420637
244,25,outer,84.52296292789167,80.0,37.29271966054418,42242,84.52296292789167
245,5,outer,62.229885057471265,63.0,13.871279552696041,1827,62.229885057471265
245,10,outer,53.39323220536756,55.0,18.42526393107422,6856,53.39323220536756
245,20,outer,53.73145885802353,55.0,17.2365761688,26603,53.73145885802353
245,25,outer,54.3993074054342,56.0,17.744289385252006,41294,54.3993074054342
246,5,outer,63.035364526659414,64.0,13.423476367700545,1838,63.035364526659414
246,10,outer,53.80579710144927,55.0,18.373317799823877,6900,53.80579710144927
246,20,outer,53.85470630130824,55.0,17.163420569519563,26677,53.85470630130824
246,25,outer,54.5440973983622,56.0,17.563279763553187,41397,54.5440973983622
247,5,outer,68.31561822125813,68.0,9.164746370073795,1844,68.31561822125813
247,10,outer,65.79077190946025,71.0,17.336694689218074,6892,65.79077190946025
247,20,outer,58.18768977021404,67.0,23.610955062955703,26677,58.18768977021404
247,25,outer,56.46413553095848,65.0,23.451138589290878,41378,56.46413553095848
248,5,outer,76.90185517654099,80.0,9.634365984783681,1671,76.90185517654099
248,10,outer,79.86059592581331,81.0,19.971198349735328,6578,79.86059592581331
248,20,outer,83.00837720478039,80.0,33.56647015861241,26023,83.00837720478039
248,25,outer,82.53797811514195,80.0,33.03051874353757,40576,82.53797811514195
249,5,outer,76.8627569528416,80.0,9.654110082877585,1654,76.8627569528416
249,10,outer,80.149870010705,81.0,21.150915743603456,6539,80.149870010705
249,20,outer,83.05460434983804,80.0,33.707569508659525,25932,83.05460434983804
249,25,outer,82.56824078879086,80.0,33.131936491600364,40467,82.56824078879086
250,5,outer,77.02760563380282,80.0,9.475473077459426,1775,77.02760563380282
250,10,outer,80.38788774002954,81.0,21.912641808289955,6770,80.38788774002954
250,20,outer,82.98829988640666,80.0,33.67447986073632,26410,82.98829988640666
250,25,outer,82.58024210244295,80.0,33.008743112462895,41057,82.58024210244295
251,5,outer,76.82573099415205,80.0,9.644380475595371,1710,76.82573099415205
251,10,outer,80.70533293160591,81.0,24.0234821323913,6638,80.70533293160591
251,20,outer,83.06816616938261,80.0,34.05893812882895,26142,83.06816616938261
251,25,outer,82.64824268603967,80.0,33.25591357492874,40744,82.64824268603967
252,5,outer,53.47629821159233,57.0,14.887885563977884,9282,53.47629821159233
252,5,inner,54.9812030075188,59.0,13.419882849549397,5320,54.9812030075188
252,10,outer,51.854164714700644,57.0,17.21738782425793,21346,51.854164714700644
252,20,outer,50.22132356959397,56.0,18.394318820574288,54897,50.22132356959397
252,25,outer,50.42275466321582,57.0,18.684025538680956,76503,50.42275466321582
253,5,outer,125.87020562928394,24.0,122.82457809633547,6857,125.87020562928394
253,10,outer,147.92648093429014,253.0,122.20650272061016,14214,147.92648093429014
253,20,outer,164.77728617806764,253.0,119.08521802580071,34807,164.77728617806764
253,25,outer,171.77036896718656,253.0,116.77067056422467,47511,171.77036896718656
254,5,outer,3.3061728395061727,3.0,2.4050878347287545,2430,3.3061728395061727
254,10,outer,2.8483322844556325,2.0,2.070568745049525,6356,2.8483322844556325
254,20,outer,56.22754979601632,3.0,102.40008872405514,20835,56.22754979601632
254,25,outer,72.36173163750111,4.0,111.62346303679702,33887,72.36173163750111
255,5,outer,6.422228933856841,2.0,21.293406457103288,3311,6.422228933856841
255,10,outer,39.231931252826776,4.0,84.71929937126598,11055,39.231931252826776
