handle,old_rating,new_rating,change,rank,contest_id,contest_name
TKT_YI,2798,2760,-38,153,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
fcw,2167,2294,127,153,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
BEAR0131,2829,2783,-46,155,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Dart-Xeyter,2370,2440,70,156,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Omer223,2461,2507,46,157,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Raiden_Mei_,2268,2364,96,158,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Fysty,2667,2659,-8,158,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
katyaporay,2381,2446,65,160,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
JeanBombeur,2444,2492,48,161,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
zdc123456,2327,2405,78,162,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Xylenox,2833,2782,-51,162,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
cfhj,2455,2499,44,164,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Maksim1744,2924,2850,-74,165,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
LittleOrange666,2189,2304,115,166,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
MYFJCHX,2229,2332,103,167,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
cerberus97,2495,2527,32,168,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Iztrx,2544,2562,18,169,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
awesomeguy856,2258,2351,93,169,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
shenfe1,2281,2368,87,169,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Handsome2004,2256,2349,93,172,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
damjandavkov,2406,2458,52,173,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
TAIYANGFENG,2236,2333,97,174,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
liympanda,2740,2707,-33,174,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Alex239,1801,2030,229,176,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Amoo_Safar,2867,2802,-65,176,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
milisav,2538,2554,16,178,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
fuppy,2535,2551,16,179,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
darkkcyan,2105,2238,133,180,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
kes0716,2469,2501,32,181,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
rama_pang,2591,2592,1,182,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
lmh_qwq,2581,2584,3,183,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
PinkieRabbit,2901,2824,-77,184,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
loan,2308,2381,73,185,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
zmy_,2286,2365,79,186,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
null0001,2221,2317,96,187,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
79brue,2515,2533,18,188,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
wifiiii,2617,2609,-8,189,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
fangzhijian2020,2411,2455,44,190,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
trybetter,2420,2461,41,191,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
TadijaSebez,2684,2658,-26,192,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
KostasKostil,2622,2611,-11,193,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
abc864197532,2655,2636,-19,194,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Miko35,2399,2444,45,195,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
_ZhangJL_,1771,2000,229,196,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
hxano,2152,2264,112,197,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
AFOier,2201,2298,97,198,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Nikitosh,2529,2539,10,199,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Tobo,2201,2297,96,200,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
yoav_s,2345,2402,57,201,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
myoi0905,2227,2315,88,202,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Cai_Guang,2231,2318,87,203,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
kostylevGO,2464,2489,25,204,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
YocyCraft,2729,2687,-42,205,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Halzion,2451,2478,27,206,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
ghj1222,2137,2249,112,207,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Rosabel,2169,2271,102,208,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Ch.II,2244,2325,81,209,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
keisuke6,2409,2445,36,210,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
